case_id,Ta,Twa,Tb,Ts,Tt,Tad,theta,Nu,f,delta_p,delta_T,Q_total,image_complete,failure_reason
30371,0.0146895424056612,0.5514184710161348,0.1430119047647756,0.8851008904571744,0.8250775131742345,0.072959167719698,2.2517331987208173,34.67126,0.100298,1.5044649999999997,25.740768,2320.40859718,True,
30372,0.0015629940204589,0.2496323875456484,0.119192621622777,0.953704579901093,0.5484000348522591,0.854912283212023,8.141919507913148,35.193865,0.124143,1.8621479999999995,21.153806,1935.658873336,True,
30373,0.0040071486806623,0.5997978139422324,0.1321117400204566,0.867483940937162,1.0567975994135903,0.0047383477841656,-1.526087655847146,30.731488,0.075839,1.1375799999999998,26.850171,2145.378846555,True,
30374,0.0093228703454775,0.544849445412166,0.1234451127877918,1.4908011191324448,0.6846312336290785,0.0185197681407357,4.636483516671952,43.891634,0.12144,1.821594000000001,17.563294,2004.292302951,True,
30375,0.0141080387716389,0.4621055810099348,0.1384377739706301,1.1637174906298444,0.9886446896145158,0.0081713432564691,-6.21730513928938,37.781319,0.104257,1.5638509999999997,22.876344,2247.176018853,True,
30376,0.0402398075545138,0.3081427277907332,0.1394322604133001,0.7117578182688644,0.8203529860885905,0.1378458880720977,-6.386703822603821,35.880547,0.12149,1.8223439999999993,24.352761,2271.855017632,True,
30377,0.0178614881258241,0.3831318209790417,0.1335580801682279,0.7624815133394671,0.6975267373797941,0.9858183886182268,-7.696961138574203,38.129727,0.129482,1.9422250000000005,21.874286,2168.557391034,True,
30378,0.005761649125141,0.4322105124521884,0.0948078539141672,1.051592813097882,0.7371677370586871,0.9211164204055444,5.023145028702045,34.416457,0.085885,1.288278,17.219417,1540.841491471,True,
30379,0.0227212859688047,0.217253987505707,0.0862961365394284,0.9611625777576236,0.6064910940945158,0.3454281134929689,0.6257627589708505,32.891573,0.08149,1.222347000000001,16.432313,1405.260006532,True,
30380,0.0208994072274713,0.5398262822493987,0.1172433559335811,1.1343968934930049,1.050999918894795,0.3945549135389344,7.789918681109953,33.153821,0.088361,1.325412000000001,22.097401,1904.79446542,True,
30381,0.0058266083912011,0.5476422680839623,0.1277915635042613,1.2618238517189746,0.7905976199652625,0.3032588097220262,-3.8013116422401136,40.766595,0.105499,1.582491000000001,19.570441,2074.332597267,True,
30382,0.0487687260695151,0.3853994363196752,0.117098192201144,1.0142891726636574,0.9425003443812549,0.478614315776627,5.463660779125059,32.647769,0.08495,1.274248,22.520152,1911.605057542,True,
30383,0.0213687173494474,0.2974693883537577,0.1071164033944481,0.8233872408587466,1.1975809034848612,0.5294723448402834,1.53811078186542,26.485324,0.05758,0.8636970000000002,25.30001,1742.205249771,True,
30384,0.0104360353699391,0.2001974149636402,0.1102871307536005,1.115094829327753,0.9474051532057286,0.1084160091174673,7.962688550919609,32.427332,0.089072,1.3360829999999986,21.255372,1792.062993545,True,
30385,0.0119294954285426,0.402691978338471,0.0878782757360277,0.8417952451527829,1.198604526312097,0.5896031785003731,1.6825376785664332,24.369793,0.049029,0.7354309999999997,22.56213,1429.569532824,True,
